Date,Clicks,Impressions,CTR,Position
2025-09-17,0,0,,
2025-09-18,3,5,60%,7.6
2025-09-19,5,13,38.46%,3.8
2025-09-20,3,3,100%,1
2025-09-21,3,6,50%,1.2
2025-09-22,1,3,33.33%,1
2025-09-23,0,1,0%,1
2025-09-24,4,5,80%,3.8
2025-09-25,1,3,33.33%,1
2025-09-26,3,3,100%,1.3
2025-09-27,0,0,,
2025-09-28,2,5,40%,1
2025-09-29,0,1,0%,4
2025-09-30,0,0,,
2025-10-01,3,3,100%,1
2025-10-02,0,0,,
2025-10-03,1,1,100%,1
2025-10-04,0,0,,
2025-10-05,2,2,100%,1
2025-10-06,1,1,100%,1
2025-10-07,1,2,50%,1
2025-10-08,0,28,0%,1.5
2025-10-09,0,0,,
2025-10-10,0,0,,
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,0,,
2025-10-14,1,1,100%,1
2025-10-15,0,0,,
2025-10-16,0,0,,
2025-10-17,1,1,100%,1
2025-10-18,0,0,,
2025-10-19,0,0,,
2025-10-20,0,0,,
2025-10-21,0,0,,
2025-10-22,0,2,0%,1
2025-10-23,0,0,,
2025-10-24,0,0,,
2025-10-25,0,0,,
2025-10-26,0,1,0%,2
2025-10-27,0,0,,
2025-10-28,1,10,10%,1
2025-10-29,0,0,,
2025-10-30,0,0,,
2025-10-31,1,3,33.33%,1
2025-11-01,0,0,,
2025-11-02,0,0,,
2025-11-03,0,0,,
2025-11-04,0,0,,
2025-11-05,0,0,,
2025-11-06,0,0,,
2025-11-07,0,0,,
2025-11-08,0,1,0%,21
2025-11-09,1,2,50%,3
2025-11-10,0,0,,
2025-11-11,0,0,,
2025-11-12,0,0,,
2025-11-13,0,0,,
2025-11-14,0,0,,
2025-11-15,0,2,0%,44
2025-11-16,0,1,0%,21
2025-11-17,3,3,100%,1
2025-11-18,0,2,0%,1
2025-11-19,0,1,0%,1
2025-11-20,1,4,25%,3.8
2025-11-21,1,1,100%,1
2025-11-22,0,0,,
2025-11-23,0,5,0%,16
2025-11-24,1,6,16.67%,8.2
2025-11-25,1,13,7.69%,8.5
2025-11-26,0,8,0%,6.5
2025-11-27,0,7,0%,11.9
2025-11-28,3,8,37.5%,5.9
2025-11-29,2,18,11.11%,7.2
2025-11-30,1,9,11.11%,8.2
2025-12-01,0,23,0%,8.6
2025-12-02,0,25,0%,9.3
2025-12-03,3,25,12%,10.3
2025-12-04,1,21,4.76%,8.9
2025-12-05,1,27,3.7%,8.8
2025-12-06,2,49,4.08%,9
2025-12-07,2,41,4.88%,9.2
2025-12-08,0,32,0%,9.4
2025-12-09,1,33,3.03%,9.6
2025-12-10,0,25,0%,9.6
2025-12-11,0,22,0%,8.9
2025-12-12,1,27,3.7%,7.4
2025-12-13,0,15,0%,7.1
2025-12-14,0,13,0%,8.2
2025-12-15,0,10,0%,6.1
2025-12-16,1,11,9.09%,6.7
2025-12-17,0,12,0%,7
2025-12-18,0,16,0%,7.2
2025-12-19,0,18,0%,7.6
2025-12-20,1,32,3.12%,8.1
2025-12-21,0,15,0%,9.3
2025-12-22,0,26,0%,8.3
2025-12-23,0,25,0%,9.1
2025-12-24,0,27,0%,9.3
2025-12-25,0,26,0%,9.4
2025-12-26,0,27,0%,8.3
2025-12-27,0,23,0%,7.4
2025-12-28,0,28,0%,8.9
2025-12-29,0,30,0%,8.1
2025-12-30,1,28,3.57%,7.6
2025-12-31,0,26,0%,9
2026-01-01,0,31,0%,10.1
2026-01-02,0,37,0%,6.8
2026-01-03,0,22,0%,7.5
2026-01-04,0,23,0%,7.4
2026-01-05,0,31,0%,7.8
2026-01-06,0,29,0%,8.7
2026-01-07,1,42,2.38%,7.8
2026-01-08,0,28,0%,9.3
2026-01-09,0,23,0%,9.4
2026-01-10,0,41,0%,8.1
2026-01-11,1,30,3.33%,7.1
2026-01-12,0,27,0%,6.9
2026-01-13,1,34,2.94%,7.1
2026-01-14,3,38,7.89%,6.7
2026-01-15,0,33,0%,6.5
2026-01-16,0,34,0%,7.3
2026-01-17,0,34,0%,6
2026-01-18,0,27,0%,11.3
2026-01-19,0,32,0%,7.7
2026-01-20,0,42,0%,8.1
2026-01-21,0,48,0%,6.9
2026-01-22,4,36,11.11%,6.7
2026-01-23,1,32,3.12%,8.2
2026-01-24,0,41,0%,6.5
2026-01-25,0,28,0%,7.7
2026-01-26,0,18,0%,6.3
2026-01-27,0,46,0%,6.7
2026-01-28,0,39,0%,7.2
2026-01-29,1,36,2.78%,7.1
2026-01-30,0,33,0%,7
2026-01-31,0,32,0%,7.8
2026-02-01,1,39,2.56%,7.2
2026-02-02,0,18,0%,7.2