Country,Clicks,Impressions,CTR,Position
Ecuador,70,137,51.09%,2.23
Argentina,3,31,9.68%,4.68
Mexico,2,234,0.85%,10.06
Peru,2,31,6.45%,6.77
Chile,1,16,6.25%,8.25
Colombia,0,1182,0%,8.34
Dominican Republic,0,160,0%,6.85
United States,0,87,0%,7.15
Spain,0,56,0%,7.43
Venezuela,0,17,0%,6.76
United Kingdom,0,14,0%,1.93
Paraguay,0,9,0%,5.44
Guatemala,0,8,0%,4
Honduras,0,7,0%,4.71
Nicaragua,0,6,0%,8.83
Brazil,0,5,0%,4.4
Cuba,0,5,0%,6.2
Iran,0,4,0%,5.5
El Salvador,0,3,0%,2.67
Costa Rica,0,3,0%,10.33
United Arab Emirates,0,2,0%,1
India,0,2,0%,1
France,0,2,0%,4.5
Italy,0,2,0%,5.5
Canada,0,2,0%,8.5
Algeria,0,1,0%,1
Switzerland,0,1,0%,2
Turks & Caicos Islands,0,1,0%,4
Germany,0,1,0%,7
Uruguay,0,1,0%,7
Poland,0,1,0%,8
Sweden,0,1,0%,8
Gabon,0,1,0%,9
Kuwait,0,1,0%,9
Netherlands,0,1,0%,9
Panama,0,1,0%,9